"Building Material","Dataset","Formal_dwelling","Informal_dwelling","ADI","Cape Town (All dwellings)","Type"
"Bricks","2024 CCT Survey",9201.04,99.37,2054.38,6636.22,"Wall"
"Corrugated iron/zinc","2024 CCT Survey",77.93,9001.93,4201.25,2199.32,"Wall"
"Cement block/concrete","2024 CCT Survey",572.44,121.06,418.41,472.56,"Wall"
"Wood","2024 CCT Survey",46.24,718.53,3132.48,584.72,"Wall"
"Other","2024 CCT Survey",20.77,12.32,92.15,29.02,"Wall"
"Cardboard","2024 CCT Survey",16.89,31.42,57.27,24.92,"Wall"
"Asbestos","2024 CCT Survey",15.17,0,20.36,13.22,"Wall"
"Plastic","2024 CCT Survey",0,7.22,17.59,3.66,"Wall"
"Mud and cement mix","2024 CCT Survey",7.24,8.15,0,6.4,"Wall"
"Wattle and daub","2024 CCT Survey",2.98,0,0,2.05,"Wall"
"Tile","2024 CCT Survey",36.57,0,0,25.17,"Wall"
"Thatching/grass","2024 CCT Survey",2.56,0,6.12,2.6,"Wall"
"Mud","2024 CCT Survey",0.18,0,0,0.12,"Wall"
"Bricks","2023 GHS",6799.57,65.38,167.57,5533.16,"Wall"
"Wood","2023 GHS",43.39,735.31,1728.16,243.7,"Wall"
"Asbestos","2023 GHS",65.41,0,67.26,57.64,"Wall"
"Cement block/concrete","2023 GHS",2880.32,0,0,2331.77,"Wall"
"Corrugated iron/zinc","2023 GHS",147.25,9199.31,7906.76,1772.79,"Wall"
"Other","2023 GHS",64.06,0,130.25,60.94,"Wall"
"Wattle and daub","2023 GHS",0,0,0,0,"Wall"
"Thatching/grass","2023 GHS",0,0,0,0,"Wall"
"Cardboard","2023 GHS",0,0,0,0,"Wall"
"Bricks","2024 CCT Survey",59.27,14.1,27.4,47,"Roof"
"Corrugated iron/zinc","2024 CCT Survey",1355.96,8682.3,7955.24,3535.79,"Roof"
"Cement block/concrete","2024 CCT Survey",523.24,239.05,342.91,448.96,"Roof"
"Wood","2024 CCT Survey",35.3,167.15,216.72,83.03,"Roof"
"Other","2024 CCT Survey",44.06,1.11,124.4,47.5,"Roof"
"Cardboard","2024 CCT Survey",9.61,30.77,43.11,17.87,"Roof"
"Asbestos","2024 CCT Survey",2586.41,35.76,682.53,1879.98,"Roof"
"Plastic","2024 CCT Survey",21.05,726.07,76.32,151.51,"Roof"
"Mud and cement mix","2024 CCT Survey",21.05,15.96,29.13,21.25,"Roof"
"Wattle and daub","2024 CCT Survey",11.13,0,22.76,10.77,"Roof"
"Tile","2024 CCT Survey",5318.66,77.74,479.48,3744.78,"Roof"
"Thatching/grass","2024 CCT Survey",10.18,0,0,7.01,"Roof"
"Mud","2024 CCT Survey",4.07,10,0,4.55,"Roof"
"Cement block/concrete","2023 GHS",442.07,0,0,357.88,"Roof"
"Plastic","2023 GHS",0,81.16,0,9.73,"Roof"
"Asbestos","2023 GHS",2980.39,65.38,99.53,2436.59,"Roof"
"Corrugated iron/zinc","2023 GHS",1835.1,9770.37,9732.89,3334.92,"Roof"
"Wood","2023 GHS",0,83.09,0,9.96,"Roof"
"Other","2023 GHS",12.47,0,0,10.1,"Roof"
"Tile","2023 GHS",4711.14,0,167.57,3825.59,"Roof"
"Thatching/grass","2023 GHS",9.47,0,0,7.67,"Roof"
"Mud and cement mix","2023 GHS",9.36,0,0,7.58,"Roof"
