"Refuse Removal","Dataset","Formal_dwelling","Informal_dwelling","ADI","Total"
"Removed by local authority/private company/community members at least once a week","2022 Census",97.238187788638,36.3553624465958,72.175054210728,91.4231041560833
"Removed by local authority/private company/community members less often than once a week","2022 Census",1.03467345278383,2.88013475990975,1.99914676668549,1.23708145711434
"Communal refuse dump","2022 Census",0.261329858267197,4.83986012972903,2.82504542769008,0.734867654244264
"Communal container/central collection point","2022 Census",1.04371511978153,37.8138509152772,16.4292036981815,4.51179597835025
"Own refuse dump","2022 Census",0.235094121513572,6.43814277243245,2.70090531955578,0.835372172574829
"Dump or leave rubbish anywhere (no rubbish disposal)","2022 Census",0.118846175307734,10.7698364641335,3.48327638801309,1.09060618567265
"Other","2022 Census",0.0681534837081378,0.902812511922227,0.387368189146085,0.16717239596035
"Removed by local authority/private company/community members at least once a week","2023 GHS",96.4320774264263,14.2716312319029,90.2999200104486,86.1615615187972
"Removed by local authority/private company/community members less often than once a week","2023 GHS",0.470563491926873,0,1.598929922883,0.492394649849979
"Communal refuse dump","2023 GHS",2.09605869375338,31.0555797660383,2.79498962998946,5.61346300890035
"Communal container/central collection point","2023 GHS",0.883443154510298,49.7424105479079,4.38073431568807,6.98179590338317
"Dump or leave rubbish anywhere (no rubbish disposal)","2023 GHS",0,2.63100790777446,0.925426120990891,0.379811135284925
"Own refuse dump","2023 GHS",0,0.86475729174999,0,0.103634683087296
"Removed by community members at least once a week","2023 GHS",0,0.584041613651032,0,0.0699930120485373
"Removed by community members, contracted by the municipality, at least once per week","2023 GHS",0,0.850571640975402,0,0.101934639113759
"Other","2023 GHS",0.117857233383171,0,0,0.0954114495347484
"Removed by local authority/private company/community members at least once a week","2024 CCT Survey",97.59,25.882,92.1811,84.5233
"Dump or leave rubbish anywhere (no rubbish disposal)","2024 CCT Survey",0.11,15.0739,1.1139,2.8216
"Other","2024 CCT Survey",0.512,0.4239,0.3267,0.4712
"Don't Know","2024 CCT Survey",0.4458,0.0785,0.6959,0.4165
"Own refuse dump","2024 CCT Survey",0.116,10.3496,1.0525,2.0031
"Removed by local authority/private company/community members less often than once a week","2024 CCT Survey",0.4745,1.6427,1.0024,0.7471
"Communal refuse dump","2024 CCT Survey",0.2414,10.7026,1.6566,2.233
"Communal container/central collection point","2024 CCT Survey",0.5102,35.8468,1.971,6.7843
