"adult_hunger","Dataset","Formal_dwelling","Informal_dwelling","ADI","Cape Town (All Dwellings)"
"Never","2024 CCT Survey",86.45,66.56,75.38,81.54
"Sometimes","2024 CCT Survey",9.7,23.49,17.1,13.06
"Seldom","2024 CCT Survey",2.73,4.47,5.77,3.44
"Often","2024 CCT Survey",0.91,4.64,1.39,1.62
"Always","2024 CCT Survey",0.2,0.84,0.36,0.33
"Always","2023 GHS",0.19,1.8,1.86,0.5
"Never","2023 GHS",78.28,56.29,61.97,74.51
"Often","2023 GHS",1.44,3.54,3.22,1.82
"Seldom","2023 GHS",7.04,14.11,12.07,8.24
"Sometimes","2023 GHS",13.04,24.26,20.88,14.93
"Always","2022 Census",1.37,5.17,3.19,2.26
"Never","2022 Census",81.31,50.14,61.41,74.81
"Often","2022 Census",1.48,5.1,2.77,2.02
"Seldom","2022 Census",3.77,4.64,5.24,3.97
"Sometimes","2022 Census",12.06,34.96,27.39,16.93
